A1: Ladder,B1: 4878,C1: 3607,D1: 786,E1: 3159,F1: 280,G1: 338,H1: 1550,A2: 5182,B2: 1145,C2: 2666,D2: 3973,E2: 734,F2: n1,G2: n2,H2: n3
72.56411,78.07228,78.58606,76.5662,78.97895,67.57532,90.12984,84.55637,71.83732,75.91238,71.71121,75.60406,73.42281,82.89989,84.51668,81.77603
86.06421,89.48636,89.29689,86.69057,89.16968,75.1112,99.29002,92.90747,82.81304,86.29481,81.55312,85.73837,83.22515,93.06184,95.1879,90.4155
100.0552,101.4809,100.6375,97.37265,99.85491,82.59489,108.5586,101.6329,94.05415,96.97784,92.30211,96.27827,93.17947,103.4749,106.0106,99.30837
114.6314,113.6315,112.1661,108.2849,111.1118,90.09435,118.3271,110.6349,106.0272,107.651,103.4784,106.9108,103.2751,113.6905,116.8734,108.4847
130.1547,125.7754,123.8261,118.9915,122.3349,98.0259,127.6793,119.8151,118.2358,118.7087,114.7635,117.135,113.6449,124.0645,127.6751,117.7342
145.7288,137.192,134.5532,128.7941,132.8969,106.3786,137.1569,129.6042,130.8,129.8136,125.5473,126.5952,123.8008,134.0515,137.8069,127.8769
161.6024,148.5881,144.6288,138.4791,143.2724,114.6459,146.5564,139.083,143.0643,140.4508,135.8688,136.1038,134.2173,143.6266,147.5663,138.2835
177.2313,159.7956,154.6858,147.4543,153.0887,122.8258,155.5276,147.7287,154.7313,149.6266,146.0833,146.2493,144.7838,153.189,156.7307,147.6476
192.0736,170.2634,163.6735,156.0837,162.3144,130.1889,163.1669,155.3285,165.6647,158.3379,155.6009,155.5695,154.6878,162.1029,165.9361,156.8737
204.8565,179.8842,171.7319,164.5498,169.7315,136.9428,169.1067,162.802,175.2977,166.37,164.6978,164.2012,163.4276,170.7022,174.1286,165.5833
215.4614,188.3839,179.3992,171.8477,176.8515,142.6878,174.2961,169.4899,184.1284,173.5527,173.2343,171.7688,171.3908,178.112,182.0745,173.2995
224.669,194.7257,185.658,178.1969,182.3881,147.9206,177.9983,175.0695,191.3773,180.4555,179.7119,177.8506,178.1121,184.7709,188.5613,179.705
230.9346,198.6968,190.1077,182.5274,186.2198,152.4868,181.306,179.8228,196.8521,185.7896,184.6519,182.7748,183.3876,189.3874,193.332,185.1068
234.8698,200.9387,193.0938,185.3155,188.8274,155.4795,183.9937,183.0905,200.6153,189.1286,187.766,186.5341,187.2021,192.1553,196.2944,189.0264
236.5894,201.6442,193.7628,186.5278,190.022,156.7355,185.0874,185.06,202.3765,190.0464,189.788,188.1011,189.7054,192.7829,197.2951,191.0476
235.6169,200.8345,192.2621,185.515,189.9855,156.4255,185.1208,185.4434,202.4551,189.5851,189.8613,187.4565,189.5106,191.9274,196.859,191.2344
232.2454,198.2942,188.6463,183.7583,187.7982,155.2558,182.8929,185.069,200.5765,187.2574,188.5844,185.0313,187.4087,189.7154,194.9855,191.1402
226.6489,194.4535,184.0795,179.7391,184.3301,153.1113,179.03,183.3938,197.8223,183.7627,185.662,181.2121,184.5042,186.3353,192.5089,189.991
219.265,188.047,178.1265,175.0613,179.7727,150.9001,173.5286,180.1959,192.7811,178.8635,180.8075,175.9713,180.6632,181.8711,188.1406,187.8517
209.412,180.4539,171.3263,168.9995,173.5511,147.6202,167.6511,176.0063,186.2275,172.509,174.9401,170.296,175.6502,176.0199,183.1909,184.5991
198.1976,171.3348,163.9579,161.4794,166.5712,143.2115,161.1468,170.7158,178.6446,165.1526,167.695,163.3667,169.5069,170.0479,177.1261,179.9588
185.532,161.9948,154.9324,153.2339,158.6981,137.3925,154.3243,164.6573,170.036,156.9829,159.7066,155.3442,163.0653,162.0765,169.3959,174.2262
172.2646,152.4768,146.0152,144.0453,150.2235,130.4668,146.7101,158.1818,160.9765,148.0982,151.0812,147.0923,154.8484,153.3745,160.9308,166.4369
158.4348,143.1561,136.5165,135.0398,141.2459,122.7581,138.2844,151.6269,151.6383,138.6711,142.1906,138.3717,145.7278,144.0924,151.6338,158.4685
144.3515,133.5342,126.7053,125.6703,131.1258,114.7754,129.4897,144.1777,141.8301,129.0443,132.5981,129.5201,136.4734,134.5118,141.5567,150.3192
130.7792,123.176,116.7821,116.3733,121.1177,107.1958,120.102,136.1089,131.4544,118.7447,122.4218,120.0897,127.2245,124.5973,130.6199,141.7057
117.5451,112.7239,106.2919,106.8055,110.6215,99.5686,111.2431,127.4715,120.8651,109.0774,111.9918,110.8093,117.3293,114.9615,120.2185,133.2503
104.9101,102.1304,96.08324,97.1085,100.6056,92.04243,102.4451,118.7391,110.0148,99.20773,101.6121,101.0084,107.5472,105.7905,109.7439,124.1636
93.06265,91.93605,85.97533,87.47392,90.65984,84.61649,94.07944,109.7439,99.52996,89.92799,91.31577,91.52822,98.11228,96.08941,99.32613,115.4873
82.79366,82.18054,76.51477,78.33413,81.36546,77.00613,85.17599,100.584,89.90905,81.01312,81.97736,81.85355,88.58397,86.76273,89.71638,106.6223
73.28338,73.40064,67.86154,69.76618,72.38142,69.21643,76.56408,91.96227,80.86485,72.66592,73.51821,72.65091,79.13017,77.65039,80.36913,97.68362
64.97675,65.14584,60.07511,62.01593,64.18528,61.64848,68.33754,83.38844,72.60664,64.74468,65.43711,64.22769,70.5098,69.08174,71.48335,89.00497
57.62589,57.53585,53.10606,54.56124,56.66168,54.46037,60.68543,74.98887,65.38831,57.53514,58.0785,56.50261,62.4226,61.09493,62.88649,80.56476
51.14419,50.8479,46.73775,47.85238,49.74406,47.79177,53.69909,67.04951,58.76908,51.17885,51.37515,49.70094,54.80245,53.98964,55.00869,72.48196
45.31713,45.07637,41.31213,41.769,43.70053,41.77948,47.2304,59.49569,52.48651,45.37668,45.25786,43.52993,48.00272,47.37048,47.99123,64.63495
40.18987,39.96373,36.3629,36.67057,38.21937,36.44967,41.39666,52.44482,46.85943,40.19439,39.87584,38.22746,41.97326,41.5491,41.79258,57.26883
35.7429,35.53739,32.20864,32.22367,33.51404,31.64363,36.212,45.84526,41.91064,35.69249,35.26415,33.55936,36.56933,36.41609,36.50431,50.65823
32.00041,31.81583,28.5218,28.57377,29.48803,27.52036,31.56943,39.90063,37.46788,31.79538,31.24629,29.66123,32.03995,31.9336,32.02919,44.47446
28.86371,28.66679,25.48174,25.63455,26.14612,24.0751,27.67051,34.79886,33.8499,28.49731,27.78676,26.38935,28.1939,28.09319,28.2389,38.96376
26.04209,26.08152,22.91241,23.01941,23.43754,21.18511,24.35017,30.22916,30.81113,25.7144,24.95102,23.56679,24.83396,24.72491,24.96924,34.08033
23.82301,23.896,20.77307,20.85921,21.19742,18.7462,21.55946,26.33063,28.12477,23.30554,22.62389,21.20796,22.03879,21.91374,22.06339,29.92268
21.90977,22.07479,19.09275,19.01109,19.26447,16.71514,19.3296,23.01074,25.69366,21.30865,20.6481,19.17213,19.81025,19.49733,19.64746,26.28013
20.19785,20.41255,17.66127,17.48284,17.55429,14.97927,17.46298,20.1649,23.57539,19.56373,19.14465,17.49436,18.03105,17.46516,17.67903,23.10771
18.83195,18.96248,16.49487,16.16105,16.08917,13.54358,15.87178,17.81851,21.6251,18.09493,17.80492,16.08295,16.49436,15.83972,16.01974,20.37524
17.72206,17.62555,15.45828,15.0414,14.86122,12.31466,14.44542,15.84691,20.06141,16.84997,16.56793,14.88504,15.27431,14.49836,14.64908,18.13602
16.63367,16.39168,14.51844,14.13371,13.82471,11.37241,13.22015,14.23411,18.68495,15.80838,15.48985,13.86502,14.2024,13.28179,13.54513,16.14177
15.54157,15.34868,13.65674,13.26079,12.88764,10.53304,12.1253,12.87016,17.53132,14.9361,14.48455,12.98989,13.23817,12.24401,12.4268,14.43595
14.46874,14.43935,12.79132,12.47856,12.08954,9.871453,11.19612,11.71607,16.42944,14.1236,13.57792,12.2014,12.36465,11.37067,11.31357,13.03732
13.3276,13.56848,12.089,11.74814,11.32475,9.26352,10.29509,10.75587,15.37156,13.3495,12.72158,11.52904,11.55785,10.56559,10.36145,11.71092
12.2933,12.76988,11.3735,11.10997,10.61769,8.748214,9.523459,9.921534,14.48581,12.55513,12.04951,10.90007,10.81058,9.91469,9.482019,10.54949
11.50026,12.00241,10.7265,10.54904,10.02332,8.23557,8.849478,9.223837,13.70165,11.81479,11.33894,10.35193,10.15783,9.304437,8.757986,9.712755
10.9134,11.28855,10.12421,10.00057,9.529681,7.674042,8.200526,8.603358,13.08139,11.15852,10.65695,9.777126,9.554422,8.752557,8.141573,9.070635
10.4204,10.70798,9.658603,9.477272,9.010953,7.220191,7.594306,8.009825,12.44169,10.58159,10.05098,9.18387,8.975147,8.170422,7.62117,8.481682
9.983445,10.25651,9.18688,8.940065,8.407942,6.725604,7.082004,7.471541,11.77739,10.07973,9.468929,8.559975,8.496845,7.655879,7.201423,7.937714
9.483799,9.814106,8.675665,8.421015,7.909087,6.30759,6.668483,6.950329,11.08436,9.582667,8.976502,8.05678,7.991278,7.129324,6.807516,7.457956
8.87739,9.387472,8.170096,7.916427,7.425163,5.924854,6.199583,6.51643,10.44128,9.136301,8.548231,7.599956,7.53651,6.645561,6.431492,6.956807
8.286846,8.852008,7.714727,7.4463,6.966394,5.601004,5.807531,6.096048,9.929804,8.637531,8.185621,7.18266,7.135081,6.271401,6.004655,6.559048
7.740769,8.362144,7.324807,7.06519,6.614275,5.237722,5.459054,5.662891,9.390984,8.146551,7.827577,6.835525,6.775623,5.845298,5.615764,6.248634
7.352697,7.912033,6.969569,6.707351,6.266602,4.905055,5.098518,5.3051,8.94527,7.708909,7.476935,6.526138,6.418175,5.56643,5.218168,5.924551
7.079377,7.504116,6.62018,6.41361,5.933402,4.625324,4.766301,4.933959,8.579506,7.335881,7.104689,6.202935,6.088205,5.302894,4.83515,5.595001
6.917405,7.123689,6.307157,6.154953,5.665275,4.33767,4.532521,4.554902,8.210917,7.074478,6.812847,5.901764,5.80272,5.082208,4.591548,5.307424
6.744692,6.725645,5.94412,5.936064,5.460298,4.099984,4.291912,4.203321,7.839066,6.844324,6.586854,5.721113,5.500166,4.859448,4.37104,5.023022
6.661503,6.43643,5.63117,5.669917,5.229249,3.849006,4.070551,3.974532,7.520443,6.615805,6.411625,5.468863,5.226717,4.676627,4.121063,4.833842
6.494906,6.06976,5.356921,5.433447,4.999379,3.67342,3.896191,3.765889,7.157597,6.343686,6.205037,5.156026,4.982816,4.514801,3.801836,4.653699
6.273558,5.820817,5.158672,5.198703,4.793943,3.511492,3.74047,3.604119,6.827594,6.131158,5.916055,4.893714,4.769944,4.309591,3.560478,4.434269
6.020019,5.563427,4.980541,5.014462,4.545405,3.408711,3.608999,3.45526,6.52257,5.893085,5.490581,4.659912,4.585974,4.096061,3.31882,4.159873
5.870267,5.406805,4.736041,4.848516,4.301579,3.308339,3.469054,3.297099,6.344818,5.628857,5.137164,4.416512,4.378684,3.91457,3.15063,3.896191
5.66843,5.278443,4.535821,4.686749,4.121274,3.184945,3.300964,3.055687,6.134933,5.454363,4.974276,4.194761,4.235088,3.747322,3.034676,3.672427
